Gene	fit_value	Predicted_Proximal_APA	Loci	209_1_CP	209_1_VZ	209_2_CP	209_2_VZ	209_3_CP	209_3_VZ	209_4_CP	209_4_VZ	334_1_CP	334_1_VZ	334_2_CP	334_2_VZ	334_3_CP	334_3_VZ	334_4_CP	334_4_VZ	336_1_CP	336_1_VZ	336_2_CP	336_2_VZ	336_3_CP	336_3_VZ	336_4_CP	336_4_VZ
NM_001170464.4|CDK17|chr12|-	1149	96674512	chr12:96672003-96674663	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_002595.5|CDK17|chr12|-	2.2	96673543	chr12:96672039-96674057	1	1	1	0.98	1	1	0.99	1	0.99	1	1	0.97	1	0.97	0.98	0.99	1	1	0.97	1	0.97	1	1	1
NM_001160.3|APAF1|chr12|+	4.4	99127320	chr12:99126198-99128564	0.75	0.71	0.56	0.73	0.65	1	0.6	0.48	0.54	0.69	0.63	0.48	0.66	1	0.85	0.61	0.49	0.8	0.61	NA	0.61	NA	0.66	1
NM_001352223.2|ANKS1B|chr12|-	0.3	99129261	chr12:99129211-99129412	1	1	1	1	0.98	0.93	1	0.96	0.99	0.97	1	1	0.98	0.98	1	1	1	1	1	NA	0.98	1	1	0.97
NM_001352200.2|ANKS1B|chr12|-	138.1	99139177	chr12:99137752-99139643	0.32	0.17	0.28	0.19	0.28	0.25	0.27	0.2	0.3	0.26	0.22	0.19	0.24	0.24	0.32	0.29	0.23	0.24	0.22	0.26	0.2	0.2	0.22	0.08
NM_015054.2|UHRF1BP1L|chr12|-	0.4	100431315	chr12:100430850-100431533	0.99	1	0.94	1	1	0.83	0.96	1	0.93	0.97	0.92	0.95	1	0.94	0.96	0.87	0.98	0.93	0.95	0.96	0.97	1	0.85	0.9
NM_178826.4|ANO4|chr12|+	0.7	101521790	chr12:101521639-101522407	1	1	1	NA	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	0.99	NA	1	1	1	NA
NM_001286616.1|ANO4|chr12|+	0.7	101521790	chr12:101521639-101522419	1	1	1	NA	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	0.99	NA	1	1	1	NA
NM_003299.3|HSP90B1|chr12|+	23.2	104341602	chr12:104341411-104341704	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	0.99	1	1
NM_013320.3|HCFC2|chr12|+	46	104497210	chr12:104496737-104500302	0.6	0.49	0.57	0.4	0.53	0.31	0.53	0.44	0.54	0.35	0.58	0.29	0.54	0.3	0.52	0.26	0.4	0.24	0.37	0.29	0.33	0.15	0.31	0.23
NM_001093771.3|TXNRD1|chr12|+	7.8	104742282	chr12:104742131-104744085	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_152318.3|C12orf45|chr12|+	3.6	105389476	chr12:105388256-105411403	0.15	0.12	0.2	NA	0.12	NA	NA	0.07	0.13	0.07	0.09	0.05	0.12	0.04	0.08	0.06	0.09	0.04	0.05	0.06	0.03	0.09	0.1	0.09
NM_015275.3|WASHC4|chr12|+	2.2	105560793	chr12:105560642-105562908	1	1	1	NA	1	1	1	NA	0.97	NA	1	NA	1	NA	1	NA	0.99	1	NA	NA	NA	1	NA	1
NM_018082.6|POLR3B|chr12|+	0.2	106903443	chr12:106903198-106903976	0.97	0.94	0.95	0.91	0.88	0.96	0.89	0.57	0.89	0.89	0.84	0.94	0.99	0.78	0.96	0.9	0.91	0.94	0.89	0.87	0.95	0.91	0.84	0.93
NM_001351363.2|RIC8B|chr12|+	2.4	107281060	chr12:107279682-107283094	0.52	0.26	0.44	0.26	0.43	0.27	0.36	0.17	0.27	0.16	0.33	0.25	0.27	0.16	0.27	0.16	0.15	0.2	0.33	0.16	0.24	0.2	0.21	0.21
NM_004075.5|CRY1|chr12|-	1.7	107385627	chr12:107385142-107385779	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_012406.4|PRDM4|chr12|-	0.7	108127994	chr12:108126648-108128299	0.73	0.59	0.71	0.61	0.71	0.5	0.86	0.5	0.68	0.56	0.53	0.55	0.46	0.53	0.58	0.54	0.48	0.64	0.39	0.76	0.47	0.63	0.32	0.51
NM_014706.4|SART3|chr12|-	64.3	108916465	chr12:108915991-108917411	0.37	0.48	0.4	0.45	0.41	0.46	0.45	0.41	0.42	0.39	0.41	0.37	0.43	0.37	0.48	0.37	0.5	0.37	0.42	0.41	0.43	0.39	0.44	0.41
NM_018984.4|SSH1|chr12|-	20.5	109176475	chr12:109171967-109183020	0	0.03	NA	NA	NA	NA	NA	NA	0.02	0	NA	0.01	NA	NA	NA	0	0.06	0	NA	0.01	NA	NA	NA	0.02
NM_018711.5|SVOP|chr12|-	18.2	109304661	chr12:109301517-109306517	0.07	0.16	0.08	NA	0.06	0	0.08	0	0.05	0.03	0.04	0.05	0.04	0.08	0.04	0.05	0.06	0.06	0.12	0.07	0.07	0.07	0.08	0.05
NM_183415.3|UBE3B|chr12|+	3.8	109972547	chr12:109972396-109974507	1	1	1	1	1	1	1	1	1	0.96	1	1	1	1	1	1	1	0.98	1	1	1	1	1	0.97
NM_207435.3|C12orf76|chr12|-	0.5	110479763	chr12:110478982-110480264	0.98	1	0.99	0.96	0.99	1	0.98	1	1	1	1	0.98	0.95	1	1	1	0.99	0.98	0.99	0.96	0.98	1	0.98	1
NM_001347947.2|IFT81|chr12|+	2	110656000	chr12:110655849-110656598	1	1	0.99	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001681.4|ATP2A2|chr12|+	1.6	110788611	chr12:110788097-110788898	0.99	0.98	0.98	1	0.99	1	0.98	1	1	0.99	0.99	1	0.98	1	1	1	0.99	0.98	1	1	1	0.99	0.99	1
NM_170665.4|ATP2A2|chr12|+	150.1	110785596	chr12:110784006-110788898	0.12	0.37	0.13	0.32	0.1	0.51	0.12	0.47	0.23	0.28	0.12	0.35	0.12	0.33	0.21	0.44	0.08	0.36	0.12	0.51	0.13	0.34	0.14	0.29
NM_001278556.2|ARPC3|chr12|-	2.4	110872723	chr12:110872628-110873022	0.86	NA	0.87	NA	0.83	NA	0.89	NA	0.91	0.81	0.88	0.88	0.9	0.82	0.86	0.8	0.86	0.91	0.85	0.86	0.92	0.83	0.88	0.89
NM_015267.4|CUX2|chr12|+	292.4	111785479	chr12:111785328-111788358	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001177996.3|PHETA1|chr12|-	4.8	111801116	chr12:111798483-111801267	1	NA	1	0.97	1	1	0.95	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99
NM_001372574.1|ATXN2|chr12|-	3.7	111890254	chr12:111890018-111890644	0.07	0.03	0.07	0.03	0.09	0.02	0.08	0	0.08	0.06	0.07	0.05	0.05	0.07	0.06	0.02	0.03	0.06	0.06	0.03	0.06	0.05	0.07	0.05
NM_001371487.1|MAPKAPK5|chr12|+	16.8	112331216	chr12:112330771-112340026	0.07	0.1	0.08	0.05	0.1	0.07	0.1	0.06	0.06	0.04	0.08	0.04	0.08	0.04	0.05	0.03	0.06	0.08	0.04	0.05	0.05	0.09	0.03	0.06
NM_001371479.1|MAPKAPK5|chr12|+	3	112339503	chr12:112339352-112340026	0.51	NA	0.78	NA	0.65	NA	0.78	NA	0.91	NA	0.38	0.12	0.74	NA	0.64	NA	NA	0.73	NA	NA	NA	0.83	NA	0.66
NM_001034025.2|ERP29|chr12|+	3.9	112460787	chr12:112459954-112461253	0.15	NA	0.23	0.3	0.22	NA	0.15	NA	0.07	0.07	0.01	0.04	0.01	0.03	0.13	0.01	0.08	0.16	0.01	0.14	0.1	0.08	0.1	0.06
NM_006700.3|TRAFD1|chr12|+	1.8	112590690	chr12:112590539-112591408	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001109662.4|HECTD4|chr12|-	42.9	112600176	chr12:112597999-112600327	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001358345.2|SLC8B1|chr12|-	0.1	113736989	chr12:113736576-113737779	0.93	1	0.92	0.84	1	NA	0.85	NA	1	0.94	0.93	0.96	NA	0.95	0.93	0.96	1	0.84	NA	0.91	NA	0.89	NA	0.76
NM_015335.5|MED13L|chr12|-	131.8	116397649	chr12:116396381-116399203	0.52	0.63	0.6	0.43	0.55	0.46	0.59	0.63	0.5	0.43	0.61	0.43	0.58	0.47	0.71	0.44	0.5	0.58	0.84	0.83	0.49	0.79	0.62	0.58
NM_032814.4|RNFT2|chr12|+	0.7	117290745	chr12:117290455-117291436	0.91	0.9	0.7	NA	0.84	NA	0.88	0.74	1	0.71	0.89	0.7	1	0.75	0.88	0.82	0.9	0.87	0.87	0.91	0.89	0.76	0.79	0.71
NM_001109903.2|RNFT2|chr12|+	0.7	117290744	chr12:117290143-117291436	0.91	0.89	0.7	NA	0.84	NA	0.88	0.73	1	0.71	0.88	0.7	0.99	0.75	0.88	0.81	0.89	0.87	0.87	0.91	0.9	0.76	0.79	0.71
NM_001382266.1|RNFT2|chr12|+	368.3	117287628	chr12:117287119-117291436	0.77	NA	NA	NA	0.91	NA	NA	NA	1	0.76	1	0.95	0.8	1	0.99	0.81	0.68	0.52	0.65	0.51	0.73	0.6	0.66	0.57
NM_001346494.2|TAOK3|chr12|-	2.1	118588779	chr12:118587606-118588963	0.05	0.08	0.07	0.05	0.06	0.12	0.06	0.07	0.05	0.06	0.03	0.02	0.06	0.05	0.06	0.04	0.07	0.04	0.04	0.06	0.05	0.06	0.07	0.04
NM_001346496.2|TAOK3|chr12|-	3.9	118587736	chr12:118587606-118587887	0.16	NA	0.01	NA	0.1	NA	NA	NA	0.14	0.24	NA	NA	0.23	0.1	0.22	0.13	0.1	NA	NA	NA	0.39	0.2	0.14	NA
NM_001206999.2|CIT|chr12|-	0.7	120125561	chr12:120123596-120126060	0.99	0.98	NA	0.91	NA	1	NA	0.74	NA	0.69	NA	0.97	NA	0.98	NA	0.75	NA	0.95	NA	0.86	NA	NA	NA	1
NM_001367886.1|BICDL1|chr12|+	1.1	120530955	chr12:120530804-120532298	1	NA	1	NA	1	NA	1	NA	0.99	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA
NM_207311.2|BICDL1|chr12|+	1.1	120530955	chr12:120530804-120532299	1	NA	1	NA	1	NA	1	NA	0.99	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA
NM_014868.5|RNF10|chr12|+	604.8	121014685	chr12:121014393-121015391	0.14	0.12	0.12	0.1	0.11	0.13	0.11	0.12	0.11	0.16	0.11	0.12	0.1	0.09	0.13	0.13	0.12	0.14	0.08	0.09	0.08	0.13	0.12	0.13
NM_139015.5|SPPL3|chr12|-	1.9	121201625	chr12:121200313-121202873	0.11	0.05	0.06	0	0	NA	0.08	0	0.02	0.04	0.05	0.08	0.28	0.03	0.1	0.13	0.19	0	0.13	0.02	0.19	0.05	0.19	0.14
NM_016237.5|ANAPC5|chr12|-	158.1	121746161	chr12:121746048-121746494	0.1	0.13	0.09	0.09	0.09	0.11	0.1	0.13	0.09	0.08	0.1	0.11	0.08	0.1	0.07	0.1	0.08	0.1	0.07	0.11	0.09	0.11	0.08	0.11
NM_001005366.2|KDM2B|chr12|-	24.1	121867579	chr12:121866899-121867966	0.98	0.95	0.98	0.95	0.98	0.93	0.96	0.93	0.95	0.93	0.95	0.94	0.95	0.96	0.96	0.94	0.96	0.92	0.98	0.92	0.97	0.94	0.97	0.94
NM_032590.5|KDM2B|chr12|-	253.9	121868121	chr12:121866899-121868272	1	0.99	1	1	1	0.98	0.99	0.97	0.98	0.97	0.99	0.98	1	1	1	0.99	1	0.97	1	0.97	1	1	1	0.99
NM_001080825.2|TMEM120B|chr12|+	8.4	122214350	chr12:122213515-122215660	0.55	0.23	0.35	NA	0.34	NA	0.37	NA	0.41	0.47	0.4	0.49	0.48	0.39	0.51	0.51	0.49	0.55	0.31	0.34	0.47	0.46	0.36	0.29
NM_014938.6|MLXIP|chr12|+	6.5	122628965	chr12:122626238-122631891	0.26	0.22	0.43	NA	0.25	NA	0.68	0.28	0.17	0.39	0.36	0.36	NA	0.26	0.4	0.37	0.35	0.17	NA	NA	NA	NA	0.31	0.34
NM_001247997.2|CLIP1|chr12|-	1	122757144	chr12:122756016-122757647	0.98	1	1	0.95	1	0.96	0.99	0.94	1	1	1	0.95	0.97	1	0.99	0.99	0.96	0.94	1	0.92	1	0.98	0.95	1
NM_001303099.2|HIP1R|chr12|+	1	123341762	chr12:123341568-123342564	0	0.01	0	0.03	0	0.02	0	0	0	0.01	0	0	0	0	0	0.01	0	0.01	0	0.02	0	0.01	0.01	0.01
NM_003959.3|HIP1R|chr12|+	336.1	123346988	chr12:123346253-123347508	0.99	0.98	0.98	0.98	0.98	0.97	0.99	0.99	0.99	0.99	0.98	0.98	0.99	1	0.99	0.99	0.98	0.98	1	1	0.98	1	0.99	0.99
NM_001384660.1|PITPNM2|chr12|-	4.5	123468978	chr12:123468027-123470897	0.96	NA	0.91	NA	0.94	NA	0.92	NA	0.92	NA	0.98	NA	0.94	NA	0.98	NA	1	NA	NA	NA	NA	NA	NA	NA
NM_001271867.2|GTF2H3|chr12|+	21.6	124146025	chr12:124144713-124147151	0.51	0.52	0.49	0.44	0.51	0.51	0.47	0.52	0.51	0.51	0.46	0.41	0.5	0.46	0.51	0.37	0.42	0.37	0.33	0.38	0.35	0.39	0.3	0.38
NM_001372106.1|DNAH10|chr12|+	0.3	124420033	chr12:124419882-124420173	1	1	0.94	1	0.99	1	0.99	1	0.98	1	0.94	NA	0.9	0.96	0.85	1	0.95	1	0.87	NA	0.95	NA	0.99	1
NM_207437.3|DNAH10|chr12|+	0.3	124420033	chr12:124419882-124420173	1	1	0.94	1	0.99	1	0.99	1	0.98	1	0.94	NA	0.9	0.96	0.85	1	0.95	1	0.87	NA	0.95	NA	0.99	1
NM_006312.6|NCOR2|chr12|-	1.5	124809978	chr12:124808961-124810129	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.98	1	1	1
NM_001367983.1|SCARB1|chr12|-	5.1	125262185	chr12:125261402-125263132	0.04	0.04	0.04	0.12	0.03	0.01	0.02	0.01	0.04	0.03	0.05	0.01	0.03	0.02	0.03	0.04	0.01	0.03	0.03	0.03	0.04	0.01	0.04	0.02
NM_001367982.1|SCARB1|chr12|-	57.7	125270898	chr12:125270249-125271049	0.03	0.17	0.03	0	0.06	0.02	0.01	0.04	0.02	0.04	0.04	0.03	0.01	0.01	0.02	0.05	0.04	0.05	0.04	0.04	0.03	0.08	0.04	0.06
NM_032656.4|DHX37|chr12|-	0.4	125432108	chr12:125431372-125432433	1	0.93	0.97	NA	0.93	0.78	1	1	0.99	0.95	0.94	1	0.96	0.98	0.93	0.91	1	0.99	0.96	1	0.95	1	1	1
NM_001319840.2|AACS|chr12|+	0.6	125626789	chr12:125626638-125627862	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1
NM_001366888.1|GLT1D1|chr12|+	0.3	129467625	chr12:129467474-129469513	1	NA	1	NA	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1
NM_004592.4|SFSWAP|chr12|+	0.1	132284119	chr12:132283968-132284283	1	NA	1	NA	NA	NA	1	NA	NA	NA	1	NA	1	1	1	1	NA	1	NA	NA	NA	1	1	1
NM_003565.4|ULK1|chr12|+	3.4	132406002	chr12:132405851-132407695	1	1	1	0.98	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_015409.5|EP400|chr12|+	13.4	132563453	chr12:132561946-132565005	0.88	0.84	0.96	0.92	0.93	0.83	0.84	0.87	0.83	0.68	0.98	0.96	1	0.67	0.92	0.82	0.97	0.78	1	0.8	1	0.88	0.9	0.86
NM_001161346.2|CHFR|chr12|-	1.8	133416937	chr12:133408942-133418182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0
NM_001161344.1|CHFR|chr12|-	1.1	133417539	chr12:133416938-133418182	0.99	0.98	0.97	0.93	0.97	0.95	0.97	1	0.97	0.89	0.89	0.91	0.94	0.85	0.95	0.95	0.95	0.98	0.95	0.96	0.96	0.99	0.93	0.99
NM_001277291.2|ZNF891|chr12|-	2.4	133696155	chr12:133684014-133698610	0.1	NA	0.08	0.09	0.08	NA	0.12	NA	0.08	0.04	0.05	0.08	NA	0.05	NA	0.06	0.04	0.05	NA	NA	0.11	NA	0.07	0.07
NR_130745.1|WASH8P|chr12|+	0.4	90947	chr12:90796-91263	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001039029.3|LRTM2|chr12|+	0.3	1943584	chr12:1943433-1945919	1	NA	1	NA	1	NA	1	NA	1	1	1	NA	1	NA	NA	0.99	1	1	NA	NA	NA	NA	1	NA
NM_001319292.2|DCP1B|chr12|-	35.9	2102406	chr12:2100622-2102557	0.15	0.13	0.15	0.2	0.1	0.3	0.14	0.22	0.16	0.12	0.21	0.13	0.13	0.19	0.13	0.18	0.1	0.15	0.17	0.26	0.12	0.22	0.19	0.24
NM_002014.4|FKBP4|chr12|+	3.5	2913097	chr12:2912317-2914297	0	0	0	0	0.01	0.04	0	0.06	0.01	0	0.01	0.02	0	0.01	0.01	0.02	0.02	0.01	0.02	0.03	0	0.03	0.01	0.02
NM_018463.4|ITFG2|chr12|+	2.7	2933418	chr12:2933256-2934242	0.84	0.9	0.71	0.78	0.82	0.87	0.83	0.87	0.8	0.81	0.83	0.83	0.81	0.77	0.76	0.83	0.84	0.86	0.91	0.83	0.89	0.84	0.82	0.79
NM_202002.3|FOXM1|chr12|-	4.2	2968549	chr12:2966846-2968700	NA	1	NA	1	NA	1	NA	1	NA	1	1	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1
NR_046433.2|RHNO1|chr12|+	1.9	2998176	chr12:2997077-2998690	0.88	0.91	0.92	0.99	0.94	0.88	0.84	0.83	0.96	0.78	0.8	0.75	0.8	0.87	0.82	0.77	0.94	0.92	0.71	0.87	0.64	0.83	0.83	0.82
NM_001759.4|CCND2|chr12|+	42569.4	4409177	chr12:4409026-4414519	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_020374.4|C12orf4|chr12|-	3.2	4598517	chr12:4596901-4599065	0.93	0.78	0.92	0.76	0.92	0.59	0.95	0.8	0.95	0.81	0.91	0.74	0.84	0.75	0.9	0.8	0.9	0.79	0.92	0.7	0.85	0.73	0.83	0.74
NM_006479.5|RAD51AP1|chr12|+	0.4	4668786	chr12:4668023-4669213	NA	1	NA	0.97	NA	1	NA	1	NA	0.97	NA	0.97	NA	1	0.96	0.98	NA	1	NA	1	NA	0.99	NA	0.98
NM_005002.5|NDUFA9|chr12|+	67.2	4797644	chr12:4796104-4803483	0.06	0.03	0.06	0.02	0.06	0.01	0.05	0.05	0.03	0.06	0.04	0.04	0.07	0.05	0.05	0.02	0.06	0.03	0.03	0.05	0.01	0.02	0.03	0.02
NM_002235.4|KCNA6|chr12|+	0.5	4960055	chr12:4959904-4960278	1	1	0.99	1	1	1	0.99	1	1	1	1	1	1	1	0.98	1	1	1	1	1	1	0.97	1	1
NM_001330312.2|CD9|chr12|+	0	6347082	chr12:6346929-6347432	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	1	1	NA	1
NM_001346092.2|TNFRSF1A|chr12|-	0.1	6438637	chr12:6437937-6438788	NA	NA	NA	1	NA	NA	NA	1	NA	1	1	1	NA	1	NA	1	1	1	NA	1	NA	1	NA	1
NM_199245.3|VAMP1|chr12|-	1.2	6573956	chr12:6571488-6574107	1	NA	1	NA	NA	NA	NA	NA	1	1	1	1	NA	1	1	1	1	1	NA	1	NA	1	1	0.99
NM_014231.5|VAMP1|chr12|-	0.2	6573501	chr12:6571488-6573652	1	NA	1	NA	NA	NA	NA	NA	1	1	0.97	1	1	1	1	1	1	1	NA	1	NA	1	1	0.97
NM_001297438.2|VAMP1|chr12|-	0.1	6571907	chr12:6571488-6572135	1	NA	1	NA	NA	NA	1	NA	1	1	1	1	1	1	1	0.99	1	1	NA	1	1	1	1	0.97
NM_016830.4|VAMP1|chr12|-	0.1	6571857	chr12:6571488-6572008	1	NA	1	NA	NA	NA	1	NA	1	1	1	1	1	1	1	0.99	1	1	NA	1	1	1	1	0.98
NM_016497.4|MRPL51|chr12|-	0.1	6601317	chr12:6601052-6601633	NA	NA	NA	NA	0.42	NA	NA	NA	NA	0.32	NA	0.23	NA	0.36	NA	0.17	0.34	0.32	0.36	0.32	NA	0.43	0.25	0.39
NM_014865.4|NCAPD2|chr12|+	8.5	6640809	chr12:6640493-6641121	0.92	0.85	0.74	0.75	0.88	0.65	0.93	0.78	0.89	0.63	0.75	0.6	0.59	0.53	0.85	0.58	0.74	0.79	NA	0.65	0.48	0.75	NA	0.74
NM_001357943.2|GAPDH|chr12|+	2.8	6647460	chr12:6647267-6647537	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1
NM_001039670.3|IFFO1|chr12|-	1.6	6648705	chr12:6648127-6649754	0	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01
NM_001193457.2|IFFO1|chr12|-	0.5	6649603	chr12:6648705-6649754	1	0.95	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99
NM_001033714.3|NOP2|chr12|-	0.5	6666657	chr12:6666037-6666808	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1
NM_001127582.2|ING4|chr12|-	3.5	6759757	chr12:6759467-6760400	0.03	0.13	0.05	0.02	0.06	0.06	0.07	0.1	0.08	0.12	0.05	0.05	0.06	0.07	0.06	0.07	0.13	0.07	0.07	0.09	0.06	0.03	0.07	0.08
NM_001385747.1|ZNF384|chr12|-	0.5	6776408	chr12:6775643-6777281	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	1	0.87	0.85	NA	0.87	0.84	0.86	0.9	NA	NA	NA	0.84	0.7	1
NM_001244015.2|PIANP|chr12|-	2.4	6804019	chr12:6802957-6804223	1	1	1	1	0.99	1	1	1	1	1	1	0.99	1	1	1	1	0.99	1	1	1	1	1	0.99	1
NM_001244014.2|PIANP|chr12|-	1630.5	6804595	chr12:6802957-6804817	0.85	0.94	0.87	0.95	0.87	0.92	0.9	0.96	0.87	0.93	0.86	0.89	0.88	0.9	0.88	0.92	0.85	0.95	0.83	0.95	0.85	0.96	0.82	0.96
NM_016319.4|COPS7A|chr12|+	0.4	6840318	chr12:6840166-6841031	1	1	1	1	0.99	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_005439.3|MLF2|chr12|-	1.2	6857560	chr12:6857162-6857713	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1
NM_001382225.1|MLF2|chr12|-	4489.6	6857935	chr12:6857162-6858148	0.66	0.66	0.64	0.68	0.67	0.7	0.65	0.69	0.67	0.67	0.65	0.67	0.64	0.66	0.66	0.65	0.64	0.69	0.66	0.67	0.65	0.66	0.63	0.67
NM_002824.6|PTMS|chr12|+	3.3	6879741	chr12:6879558-6880118	1	NA	0.93	NA	0.91	NA	0.94	NA	0.93	0.88	0.9	0.84	0.95	0.84	0.91	0.91	0.98	0.91	0.8	0.91	0.94	0.87	0.92	0.95
NM_014449.2|GPR162|chr12|+	0.8	6935996	chr12:6935818-6936586	1	NA	0.99	NA	0.98	1	1	NA	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001297603.3|CDCA3|chr12|-	122.6	6955805	chr12:6953962-6955956	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1
NM_031299.7|CDCA3|chr12|-	0.3	6958211	chr12:6957992-6958362	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.97	NA	0.97	NA	0.97	NA	0.97	NA	0.96	NA	0.97	NA	1	NA	1
NM_001382589.1|USP5|chr12|+	27.8	6975299	chr12:6975148-6975796	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001159287.1|TPI1|chr12|+	1.1	6979580	chr12:6979429-6980099	1	1	1	1	1	1	1	0.98	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_000365.6|TPI1|chr12|+	1.1	6979580	chr12:6979429-6980099	1	1	1	1	1	1	1	0.98	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001975.3|ENO2|chr12|+	28.2	7032045	chr12:7031894-7032860	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001007026.2|ATN1|chr12|+	0.8	7051061	chr12:7050910-7051484	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001301836.2|C12orf57|chr12|+	0.1	7055090	chr12:7054934-7055165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.99	1	NA	1	1	1	1	1	0.99	1	1	1	1	1
NM_001301834.1|C12orf57|chr12|+	0.1	7055090	chr12:7054934-7055166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.99	1	NA	1	1	1	1	1	1	1	1	1	1	1
NM_001320049.2|EMG1|chr12|+	0.1	7085136	chr12:7084858-7085347	0.96	NA	0.85	NA	0.82	1	NA	0.82	0.9	0.75	0.79	0.41	0.45	0.52	0.85	0.77	0.73	0.8	NA	0.33	NA	0.68	1	0.89
NM_001734.5|C1S|chr12|+	0.1	7177310	chr12:7177159-7178336	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA
NM_014718.4|CLSTN3|chr12|+	421.6	7310688	chr12:7310537-7311541	0.95	0.94	0.94	0.94	0.93	0.95	0.94	0.97	0.93	0.94	0.93	0.94	0.94	0.93	0.95	0.89	0.93	0.94	0.93	0.96	0.93	0.98	0.92	0.96
NM_001351124.3|PEX5|chr12|+	2.2	7362769	chr12:7362618-7364055	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_006931.3|SLC2A3|chr12|-	7.6	8073143	chr12:8071826-8074227	0.8	0.86	0.81	0.85	0.84	0.81	0.78	0.71	0.86	0.91	0.67	0.58	0.79	0.64	0.73	0.79	0.81	0.81	0.67	0.75	0.75	0.74	0.65	0.71
NM_018416.3|FOXJ2|chr12|+	4.2	8205509	chr12:8205358-8208113	1	1	1	1	1	1	1	NA	1	1	1	1	NA	NA	1	1	1	1	NA	NA	NA	NA	NA	NA
NM_015509.4|NECAP1|chr12|+	176.8	8248789	chr12:8248638-8250477	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NR_026788.1|FAM66C|chr12|+	0.4	8352475	chr12:8352304-8353596	0.87	NA	0.95	NA	0.79	NA	1	NA	0.99	0.73	0.91	0.76	1	NA	0.76	0.74	0.9	NA	NA	NA	0.74	0.93	0.85	0.77
NM_004426.3|PHC1|chr12|+	16.2	9092052	chr12:9091901-9092957	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.97	1	1	1	1	1	1
